transcript_name	raw	est_count	tpm	transcript_length
chr15_69460894_69461800	0.23561722939166826	457.80427670801146	235617.22939166825	906
chr22_37721886_37722651	0.19663370734071356	382.0592933630064	196633.70734071356	765
chr10_111549565_111550089	0.12167421332960027	236.4129964994133	121674.21332960027	524
chr7_34486855_34487236	0.06555231008274526	127.36813849077403	65552.31008274526	381
chr10_125428618_125429200	0.0459465314364009	89.27411058092694	45946.5314364009	582
chr1_208740080_208740596	0.041173443129181655	79.99999999999996	41173.44312918166	516
chr2_5355316_5355842	0.038720891857336105	75.23469287880405	38720.89185733611	526
chr2_5354902_5355842	0.0378253952566157	73.4947429836043	37825.3952566157	940
chr9_72111593_72112558	0.03419679078376951	66.44436449286417	34196.79078376951	965
chr4_162124477_162124986	0.030225434018917377	58.72801829875646	30225.434018917378	509
chr7_89668265_89669373	0.02316006176016468	44.99999999999997	23160.06176016468	1108
chr13_72448052_72449034	0.01544004117344312	29.999999999999982	15440.04117344312	982
chr7_101690235_101691128	0.011294128765893405	21.944492192130884	11294.128765893405	893
chr2_120858756_120859715	0.010630851657965174	20.65574477142633	10630.851657965173	959
chr2_5354902_5355844	0.01013696848870645	19.69612977355663	10136.96848870645	942
chr2_226646471_226647074	0.008229599745078482	15.990112304687491	8229.599745078482	603
chr2_52252422_52253203	0.0072788253571691225	14.142757668979606	7278.825357169122	781
chr19_47198541_47199288	0.006826885308931994	13.264638155254865	6826.885308931994	747
chr12_2089013_2089960	0.006200974030995248	12.048492542223766	6200.974030995248	947
chr9_130036558_130037138	0.005675784592772708	11.028049463757371	5675.7845927727085	580
chr17_42056349_42056905	0.004632012352032936	8.999999999999995	4632.012352032936	556
chr13_106815421_106816233	0.0041173443129181655	7.999999999999996	4117.344312918166	812
chr5_74790984_74791868	0.003088008234688624	5.9999999999999964	3088.0082346886243	884
chr4_136541993_136542602	0.003088008234688624	5.9999999999999964	3088.0082346886243	609
chr6_8163131_8163777	0.0027819312198559785	5.405292360180166	2781.9312198559787	646
chr6_141071356_141072130	0.0025733401955738535	4.999999999999997	2573.3401955738536	774
chr19_18278071_18278553	0.0020586721564590828	3.999999999999998	2058.672156459083	482
chr19_19365046_19365635	0.0020586721564590828	3.999999999999998	2058.672156459083	589
chr12_6918241_6918772	0.0020586721564590828	3.999999999999998	2058.672156459083	531
chr8_499928_501499	0.0020586721564590828	3.999999999999998	2058.672156459083	1571
chr1_32169211_32169635	0.0016811386399928387	3.2664523775060856	1681.1386399928388	424
chr5_40177441_40178249	0.001544004117344312	2.9999999999999982	1544.0041173443121	808
chr2_11926106_11926494	0.001544004117344312	2.9999999999999982	1544.0041173443121	388
chr17_75427555_75428201	0.001544004117344312	2.9999999999999982	1544.0041173443121	646
chr7_139288468_139288924	0.001544004117344312	2.9999999999999982	1544.0041173443121	456
chr19_2449935_2450877	0.001289847060991339	2.5061728395061715	1289.8470609913388	942
chr12_130641752_130642501	0.0010293360782295414	1.999999999999999	1029.3360782295415	749
chr19_46762536_46763082	0.0010293360782295414	1.999999999999999	1029.3360782295415	546
chr2_207795585_207796176	0.0010293360782295414	1.999999999999999	1029.3360782295415	591
chr3_51859621_51860580	0.0010293360782295414	1.999999999999999	1029.3360782295415	959
chr3_51860088_51860567	0.0009971693257848683	1.9374999999999991	997.1693257848683	479
chr2_5354917_5355856	0.0005997041306322069	1.1652251258183781	599.7041306322069	939
